,PROPERTY VALUE,ONTOLOGY TERM LABEL(S),ONTOLOGY TERM(S),ONTOLOGY(S),SOURCE(S),ontology_uri
0,Arsine,Arsine,NCIT_C163586,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C163586
1,Arsine,arsine,CHEBI_22637,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_22637
2,Cyanide,cyanide,CHEBI_17514,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_17514
3,Hydrogen,hydrogen atom,CHEBI_49637,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_49637
4,Iodine,Iodine,OMIT_0008571,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/omit.owl,http://purl.obolibrary.org/obo/OMIT_0008571
5,Nitrogen,Nitrogen,OMIT_0010604,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/omit.owl,http://purl.obolibrary.org/obo/OMIT_0010604
6,Sulfur,sulfur atom,CHEBI_26833,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_26833
7,Dimethylethyl,"cyclohexanone, 4-(1,1-dimethylethyl)-",CHEBI_188365,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_188365
8,Dimethylethyl,"1,2,4-Triazin-5(2H)-one, 6-(1,1-dimethylethyl)-3-(methylthio)-",CHEBI_182534,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_182534
9,Ethylene,Ethylene,NCIT_C76752,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C76752
10,Formaldehyde,formaldehyde,CHEBI_16842,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_16842
11,Arsenic,Arsenic,NCIT_C28131,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C28131
12,Barium,Barium,NCIT_C61475,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C61475
13,Mercury,Mercury,NCIT_C66842,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C66842
14,Sodium,Sodium,NCIT_C830,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C830
15,Thallium,thallium,CHEBI_30440,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_30440
16,Uranium,Uranium,NCIT_C86020,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86020
17,Ricin,Ricin,CHEBI_8852,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_8852
18,Decontamination,Decontamination,NCIT_C68769,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C68769
19,Fireworks,"Fireworks, device (physical object)",30926007,http://snomed.info/id/,http://snomed.info/sct/900000000000207008,http://snomed.info/id/30926007
20,Fireworks,Accident caused by fireworks (event),218000000,http://snomed.info/id/,http://snomed.info/sct/900000000000207008,http://snomed.info/id/218000000
21,Anticoagulant,anticoagulant,CHEBI_50249,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_50249
22,Chloropicrin,chloropicrin,CHEBI_39285,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_39285
23,Nicotine,nicotine,CHEBI_18723,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_18723
24,Organophosphate,Organic Phosphate,NCIT_C94713,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C94713
25,Vomiting,vomiting,SYMP_0019145,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/symp.owl,http://purl.obolibrary.org/obo/SYMP_0019145
26,Fentanyl,fentanyl,CHEBI_119915,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_119915
27,Heparin,heparin,CHEBI_28304,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_28304
28,Heparin,Heparin,NCIT_C539,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C539
29,Astatine,astatine atom,CHEBI_30415,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_30415
30,Einsteinium,einsteinium atom,CHEBI_33393,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_33393
31,Francium,francium atom,CHEBI_33323,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_33323
32,Plutonium,Plutonium,NCBITaxon_1737486,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1737486
33,Plutonium,plutonium atom,CHEBI_33388,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_33388
34,Polonium,polonium atom,CHEBI_33313,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_33313
35,Chloroacetophenone,omega-Chloroacetophenone,OMIT_0004043,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/omit.owl,http://purl.obolibrary.org/obo/OMIT_0004043
36,Chloroacetophenone,Chloroacetophenone (substance),79803004,http://snomed.info/id/,http://snomed.info/sct/900000000000207008,http://snomed.info/id/79803004
