PROPERTY VALUE,ONTOLOGY TERM LABEL(S),ONTOLOGY TERM(S),ontology term URI
Arsine,arsine,CHEBI_22637,http://purl.obolibrary.org/obo/CHEBI_22637
Cyanide,cyanide,CHEBI_17514,http://purl.obolibrary.org/obo/CHEBI_17514
Hydrogen,hydrogen atom,CHEBI_49637,http://purl.obolibrary.org/obo/CHEBI_49637
Iodine,Iodine,OMIT_0008571,http://purl.obolibrary.org/obo/OMIT_0008571
Nitrogen,Nitrogen,OMIT_0010604,http://purl.obolibrary.org/obo/OMIT_0010604
Sulfur,sulfur atom,CHEBI_26833,http://purl.obolibrary.org/obo/CHEBI_26833
Dimethylethyl,"cyclohexanone, 4-(1,1-dimethylethyl)-",CHEBI_188365,http://purl.obolibrary.org/obo/CHEBI_188365
Ethylene,Ethylene,NCIT_C76752,http://purl.obolibrary.org/obo/NCIT_C76752
Formaldehyde,formaldehyde,CHEBI_16842,http://purl.obolibrary.org/obo/CHEBI_16842
Arsenic,Arsenic,NCIT_C28131,http://purl.obolibrary.org/obo/NCIT_C28131
Barium,Barium,NCIT_C61475,http://purl.obolibrary.org/obo/NCIT_C61475
Mercury,Mercury,NCIT_C66842,http://purl.obolibrary.org/obo/NCIT_C66842
Sodium,Sodium,NCIT_C830,http://purl.obolibrary.org/obo/NCIT_C830
Thallium,thallium,CHEBI_30440,http://purl.obolibrary.org/obo/CHEBI_30440
Uranium,Uranium,NCIT_C86020,http://purl.obolibrary.org/obo/NCIT_C86020
Ricin,Ricin,CHEBI_8852,http://purl.obolibrary.org/obo/CHEBI_8852
Decontamination,Decontamination,NCIT_C68769,http://purl.obolibrary.org/obo/NCIT_C68769
Fireworks,Accident caused by fireworks (event),218000000,http://snomed.info/id/218000000
Anticoagulant,anticoagulant,CHEBI_50249,http://purl.obolibrary.org/obo/CHEBI_50249
Chloropicrin,chloropicrin,CHEBI_39285,http://purl.obolibrary.org/obo/CHEBI_39285
Nicotine,nicotine,CHEBI_18723,http://purl.obolibrary.org/obo/CHEBI_18723
Organophosphate,Organic Phosphate,NCIT_C94713,http://purl.obolibrary.org/obo/NCIT_C94713
Vomiting,vomiting,SYMP_0019145,http://purl.obolibrary.org/obo/SYMP_0019145
Fentanyl,fentanyl,CHEBI_119915,http://purl.obolibrary.org/obo/CHEBI_119915
Heparin,heparin,CHEBI_28304,http://purl.obolibrary.org/obo/CHEBI_28304
Astatine,astatine atom,CHEBI_30415,http://purl.obolibrary.org/obo/CHEBI_30415
Einsteinium,einsteinium atom,CHEBI_33393,http://purl.obolibrary.org/obo/CHEBI_33393
Francium,francium atom,CHEBI_33323,http://purl.obolibrary.org/obo/CHEBI_33323
Plutonium,plutonium atom,CHEBI_33388,http://purl.obolibrary.org/obo/CHEBI_33388
Polonium,polonium atom,CHEBI_33313,http://purl.obolibrary.org/obo/CHEBI_33313
Chloroacetophenone,Chloroacetophenone (substance),79803004,http://snomed.info/id/79803004
Chlorobenzylidenemalononitrile,2-Chlorobenzylidenemalononitrile,CHEBI_188626,http://purl.obolibrary.org/obo/CHEBI_188626
Lewisite,Lewisite (substance),74981003,http://snomed.info/id/74981003
Phosgene,phosgene,CHEBI_29365,http://purl.obolibrary.org/obo/CHEBI_29365
Sarin,sarin,CHEBI_75701,http://purl.obolibrary.org/obo/CHEBI_75701
Argentine Hemorrhagic Fever,Argentine hemorrhagic fever,DOID_0050194,http://purl.obolibrary.org/obo/DOID_0050194
Avian influenza,avian influenza,DOID_4492,http://purl.obolibrary.org/obo/DOID_4492
Babesiosis,Babesiosis,NCIT_C84581,http://purl.obolibrary.org/obo/NCIT_C84581
Bartonellosis,bartonellosis,DOID_11102,http://purl.obolibrary.org/obo/DOID_11102
Bolivian Hemorrhagic Fever,Bolivian hemorrhagic fever,DOID_0050195,http://purl.obolibrary.org/obo/DOID_0050195
Clostridium botulinum,Clostridium botulinum,NCBITaxon_1491,http://purl.obolibrary.org/obo/NCBITaxon_1491
Brucellosis,brucellosis,DOID_11077,http://purl.obolibrary.org/obo/DOID_11077
Buruli ulcer (cutaneous mycobacterial disease),Buruli ulcer disease,DOID_0050456,http://purl.obolibrary.org/obo/DOID_0050456
Chancroid,chancroid,DOID_13778,http://purl.obolibrary.org/obo/DOID_13778
Chikungunya virus disease,Chikungunya Virus Antibody Measurement,NCIT_C135404,http://purl.obolibrary.org/obo/NCIT_C135404
Chlamydial lymphogranuloma venereum (LGV),Lymphogranuloma Venereum,NCIT_C26822,http://purl.obolibrary.org/obo/NCIT_C26822
Cholera:,Cholera,OMIT_0004092,http://purl.obolibrary.org/obo/OMIT_0004092
Coccidioidomycosis,coccidioidomycosis,DOID_13450,http://purl.obolibrary.org/obo/DOID_13450
Crimean-Congo Hemorrhagic fever,Crimean-Congo hemorrhagic fever,DOID_12287,http://purl.obolibrary.org/obo/DOID_12287
Constipation,constipation,SYMP_0019180,http://purl.obolibrary.org/obo/SYMP_0019180
Cough,cough,SYMP_0000614,http://purl.obolibrary.org/obo/SYMP_0000614
Cowpox,cowpox,DOID_8956,http://purl.obolibrary.org/obo/DOID_8956
Creutzfeldt-Jakob disease,Creutzfeldt-Jakob disease,DOID_11949,http://purl.obolibrary.org/obo/DOID_11949
Cryptosporidiosis,cryptosporidiosis,DOID_1733,http://purl.obolibrary.org/obo/DOID_1733
Diarrhoea,diarrhea,SYMP_0000570,http://purl.obolibrary.org/obo/SYMP_0000570
Endemic,endemic,HSO_0000392,http://purl.obolibrary.org/obo/HSO_0000392
Enterobiasis,enterobiasis,DOID_7457,http://purl.obolibrary.org/obo/DOID_7457
Epidemic,Epidemic Disorder,NCIT_C171452,http://purl.obolibrary.org/obo/NCIT_C171452
Equine Encephalitis,Western equine encephalitis,EFO_0007546,http://www.ebi.ac.uk/efo/EFO_0007546
Escherichia coli Infection,escherichia coli infection,MONDO_0020920,http://purl.obolibrary.org/obo/MONDO_0020920
Fever,fever,SYMP_0000613,http://purl.obolibrary.org/obo/SYMP_0000613
Giardiasis,giardiasis,DOID_10718,http://purl.obolibrary.org/obo/DOID_10718
Gonorrhea,gonorrhea,DOID_7551,http://purl.obolibrary.org/obo/DOID_7551
H10N8,H10N8 subtype,NCBITaxon_286285,http://purl.obolibrary.org/obo/NCBITaxon_286285
H1N1,H1N1 Influenza,NCIT_C80444,http://purl.obolibrary.org/obo/NCIT_C80444
H1N1v,Inactivated Influenza split virion subtype H1N1v-like strain adjuvant vaccine (product),449000000,http://snomed.info/id/449000000
H1N2,H1N2 subtype,NCBITaxon_114728,http://purl.obolibrary.org/obo/NCBITaxon_114728
H2N1,H2N1 subtype,NCBITaxon_114730,http://purl.obolibrary.org/obo/NCBITaxon_114730
H6N1,H6N1 subtype,NCBITaxon_119212,http://purl.obolibrary.org/obo/NCBITaxon_119212
Hepatitis,hepatitis,DOID_2237,http://purl.obolibrary.org/obo/DOID_2237
Hepatitis A,hepatitis A,DOID_12549,http://purl.obolibrary.org/obo/DOID_12549
Hepatitis B,hepatitis B,DOID_2043,http://purl.obolibrary.org/obo/DOID_2043
Hepatitis C,hepatitis C,DOID_1883,http://purl.obolibrary.org/obo/DOID_1883
Hepatitis E,hepatitis E,DOID_4411,http://purl.obolibrary.org/obo/DOID_4411
Zoster (Herpes zoster),Herpes Zoster,NCIT_C71079,http://purl.obolibrary.org/obo/NCIT_C71079
HFMD,"hand, foot and mouth disease",EFO_0007294,http://www.ebi.ac.uk/efo/EFO_0007294
Japanese Encephalitis,Japanese encephalitis,DOID_10844,http://purl.obolibrary.org/obo/DOID_10844
Kyasanur Forest Disease,Kyasanur forest disease,DOID_11320,http://purl.obolibrary.org/obo/DOID_11320
Lassa Fever,Lassa fever,DOID_9537,http://purl.obolibrary.org/obo/DOID_9537
Leishmaniasis,Leishmaniasis,NCIT_C34767,http://purl.obolibrary.org/obo/NCIT_C34767
Leprosy,leprosy,DOID_1024,http://purl.obolibrary.org/obo/DOID_1024
Leptospirosis,leptospirosis,DOID_2297,http://purl.obolibrary.org/obo/DOID_2297
Listeriosis,listeriosis,DOID_11573,http://purl.obolibrary.org/obo/DOID_11573
Lyme disease,Lyme disease,DOID_11729,http://purl.obolibrary.org/obo/DOID_11729
Malaria,malaria,DOID_12365,http://purl.obolibrary.org/obo/DOID_12365
Marburg Hemorrhagic Fever,Marburg hemorrhagic fever,DOID_4327,http://purl.obolibrary.org/obo/DOID_4327
Measles,measles,DOID_8622,http://purl.obolibrary.org/obo/DOID_8622
Melioidosis,melioidosis,DOID_5052,http://purl.obolibrary.org/obo/DOID_5052
Meningitis,meningitis,SYMP_0019173,http://purl.obolibrary.org/obo/SYMP_0019173
Microcephaly,microcephaly,DOID_10907,http://purl.obolibrary.org/obo/DOID_10907
MRSA,Methicillin Resistant Staphylococcus Aureus,NCIT_C123515,http://purl.obolibrary.org/obo/NCIT_C123515
Mumps,mumps,DOID_10264,http://purl.obolibrary.org/obo/DOID_10264
Norovirus,Norovirus,NCBITaxon_142786,http://purl.obolibrary.org/obo/NCBITaxon_142786
Nosocomial,Nosocomial Pneumonia,NCIT_C115297,http://purl.obolibrary.org/obo/NCIT_C115297
Onchocerciasis,onchocerciasis,DOID_11678,http://purl.obolibrary.org/obo/DOID_11678
Pain,Pain,HP_0012531,http://purl.obolibrary.org/obo/HP_0012531
Paralysis,paralysis,SYMP_0000030,http://purl.obolibrary.org/obo/SYMP_0000030
Whooping cough,Whooping cough,HP_0031247,http://purl.obolibrary.org/obo/HP_0031247
Pneumonia,pneumonia,DOID_552,http://purl.obolibrary.org/obo/DOID_552
Poliomyelitis,poliomyelitis,DOID_4953,http://purl.obolibrary.org/obo/DOID_4953
Rash,rash,SYMP_0000487,http://purl.obolibrary.org/obo/SYMP_0000487
skin Rash,Skin Rash,NCIT_C39594,http://purl.obolibrary.org/obo/NCIT_C39594
Respiratory Symptoms,respiratory symptom,GSSO_004096,http://purl.obolibrary.org/obo/GSSO_004096
Rickettsialpox,rickettsialpox,DOID_11103,http://purl.obolibrary.org/obo/DOID_11103
Sleeping Sickness,sleeping sickness,DOID_10112,http://purl.obolibrary.org/obo/DOID_10112
SSPE,Subacute Sclerosing Panencephalitis,NCIT_C85171,http://purl.obolibrary.org/obo/NCIT_C85171
Trachoma,trachoma,DOID_11265,http://purl.obolibrary.org/obo/DOID_11265
Tuberculosis,tuberculosis,DOID_399,http://purl.obolibrary.org/obo/DOID_399
Tungiasis,tungiasis,DOID_0050266,http://purl.obolibrary.org/obo/DOID_0050266
Typhoid fever,Typhoid Fever,NCIT_C35089,http://purl.obolibrary.org/obo/NCIT_C35089
